ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Number,,FOUND
2,Variable,,FOUND
3,Constant,,FOUND
4,Coefficient,2,FOUND
5,Term,2|3|4,FOUND
6,Expression,5,FOUND
7,Equation,6,FOUND
8,Inequality,6,FOUND
9,Order of Operations,1,PROP
10,Commutative Property,1,PROP
11,Associative Property,1,PROP
12,Distributive Property,1|5,PROP
13,Identity Property,1,PROP
14,Inverse Property,1,PROP
15,Integers,1,NUMS
16,Rational Numbers,15,NUMS
17,Real Numbers,16,NUMS
18,Absolute Value,1,NUMS
19,Number Line,1|15,NUMS
20,Coordinate System,19,NUMS
21,Exponent,1,EXP
22,Base,21,EXP
23,Power,21|22,EXP
24,Integer Exponents,21|15,EXP
25,Rational Exponents,24|16,EXP
26,Negative Exponents,24,EXP
27,Zero Exponent,21,EXP
28,Product Rule for Exponents,23,EXP
29,Quotient Rule for Exponents,23,EXP
30,Power Rule for Exponents,23,EXP
31,Scientific Notation,24|28,EXP
32,Square Root,23,EXP
33,Cube Root,23,EXP
34,Radical Expression,32|33,EXP
35,Simplifying Radicals,34,EXP
36,Evaluating Expressions,6|9,FOUND
37,Substitution,2|36,FOUND
38,Like Terms,5,POLY
39,Combining Like Terms,38,POLY
40,Simplifying Expressions,36|39,POLY
41,Expanding Expressions,12|6,POLY
42,Monomial,5|21,POLY
43,Binomial,42,POLY
44,Trinomial,43,POLY
45,Polynomial,44,POLY
46,Degree of Polynomial,45|21,POLY
47,Leading Coefficient,45|4,POLY
48,Standard Form of Polynomial,45|46,POLY
49,Adding Polynomials,45|39,POLY
50,Subtracting Polynomials,45|39,POLY
51,Multiplying Polynomials,45|12,POLY
52,FOIL Method,43|51,POLY
53,Special Products,51,POLY
54,Difference of Squares,53,POLY
55,Perfect Square Trinomial,53,POLY
56,Factoring,45,FACT
57,Greatest Common Factor,45,FACT
58,Factoring by GCF,56|57,FACT
59,Factoring Trinomials,56|44,FACT
60,Factoring Difference of Squares,56|54,FACT
61,Factoring Perfect Squares,56|55,FACT
62,Factoring by Grouping,56|45,FACT
63,Prime Factorization,1,FACT
64,Prime Polynomial,56,FACT
65,Zero Product Property,56|7,FACT
66,Solving by Factoring,65|7,FACT
67,Factoring Completely,58|59|60,FACT
68,Sum of Cubes,56,FACT
69,Difference of Cubes,56,FACT
70,Factoring Quadratic Form,59,FACT
71,Solving Equations,7,LIN
72,One-Step Equations,71|14,LIN
73,Two-Step Equations,72,LIN
74,Multi-Step Equations,73|12,LIN
75,Variables on Both Sides,74,LIN
76,Equations with Fractions,74|16,LIN
77,Equations with Decimals,74|16,LIN
78,Literal Equations,71|2,LIN
79,Solving for a Variable,78,LIN
80,Formula Manipulation,79,LIN
81,Linear Equation in One Variable,71|2,LIN
82,Solution Set,71,LIN
83,Identity Equation,81,LIN
84,Contradiction,81,LIN
85,Conditional Equation,81,LIN
86,Checking Solutions,71|37,LIN
